episode,mode,total_reward,avg_runtime,avg_cost,avg_quality
1,baseline,3.6692903927124014,28.753245366522634,20.44267454072466,0.9798376780787168
2,baseline,3.614334728687016,30.467104825573085,20.729022704501443,0.9788475833877758
3,baseline,3.583494286513237,31.429807971700665,21.596939467184708,0.9818325944970743
4,baseline,3.562675994705627,30.705957016119356,22.469424431347825,0.9784121061784612
5,baseline,3.6202166475058757,29.51247420689078,21.646628428868407,0.9798388426799711
6,baseline,3.608012929841899,30.47883107835686,21.293578978088473,0.9804646362506064
7,baseline,3.56301983348017,31.471781716406515,21.720787300582526,0.9785668117809792
8,baseline,3.6307427979525677,29.398199401982946,21.116489415426535,0.978722003677561
9,baseline,3.58957667359652,31.452707948195712,20.793042038817305,0.979144084654369
10,baseline,3.577029187265204,29.12513735801799,22.83578911356434,0.9752104698109525
11,baseline,3.626084508699227,30.584489405604796,21.2100445536366,0.9841895715360524
12,baseline,3.5970930339474014,31.438010072283298,21.395931749948303,0.9835883159006384
13,baseline,3.6516631661505183,29.286732765103984,20.51041926033816,0.9793183933573143
14,baseline,3.627489970556738,30.20559748292669,20.356737192688865,0.9783096674894253
15,baseline,3.5884822645802252,30.757064857342925,21.434335130766744,0.9786534528565933
16,baseline,3.5825147576592267,30.71182353865448,20.745607475413145,0.9737901066021835
17,baseline,3.645594574693356,30.69092251265194,19.496712201377363,0.9800570885088178
18,baseline,3.5991712857740676,29.84640045427282,22.432058738639903,0.9812265531193771
19,baseline,3.655788302891379,28.68175519142295,20.523058334996072,0.9771817282103707
20,baseline,3.621266598082017,30.54847181192151,20.867760589351235,0.9813344816227672
